Student_ID,University,Year_of_Study,Major,Gender,Age,Online_Tool_Used,Usage_Frequency,Satisfaction_Score,Accessibility_Score,Impact_on_Learning,Challenges_Faced,Preferred_Features,Suggestions_for_Improvement
S001,South East European University,2nd,Economics,Female,23,Blackboard Collaborate,Monthly,4,3,5,Security concerns,Familiarity,Add more interactive tools
S002,South East European University,4th,Engineering,Female,19,Moodle,Monthly,4,5,4,No Response,Simplicity,No Response
S003,Mother Teresa University,4th,Law,Male,19,MS Teams,Monthly,5,4,5,Learning curve,User interface,Enhance login security
S004,South East European University,3rd,Engineering,Female,25,Google Classroom,Daily,5,3,3,No Response,Resource access,No Response
S005,Saint Cyril and Methodious University,3rd,Art,Female,18,Google Classroom,Monthly,5,3,4,Bandwidth issues,Assignment tracking,Optimize for low bandwidth
S006,Mother Teresa University,4th,Chemistry,Female,24,Google Meet,Weekly,4,5,4,Technical glitches,Chat function,Improve reliability
S007,Mother Teresa University,4th,Law,Male,25,Canvas,Weekly,3,4,4,Login issues,Chat function,Optimize for low bandwidth
S008,Mother Teresa University,3rd,Engineering,Male,19,Blackboard Collaborate,Weekly,3,4,5,Technical glitches,Familiarity,More intuitive interface
S009,South East European University,4th,History,Female,18,Canvas,Weekly,4,4,4,Outdated interface,Familiarity,Strengthen security features
S010,Mother Teresa University,2nd,Economics,Female,24,Canvas,Monthly,5,5,3,Login issues,Easy navigation,No Response
S011,Mother Teresa University,1st,Business Administration,Female,25,Google Meet,Daily,3,4,5,Security concerns,Resource access,Strengthen security features
S012,Saint Cyril and Methodious University,2nd,Physics,Female,24,Google Classroom,Weekly,3,4,4,No Response,User interface,Improve reliability
S013,Saint Cyril and Methodious University,1st,Engineering,Male,22,Google Meet,Daily,5,5,5,Security concerns,Recording feature,Optimize performance
S014,Saint Cyril and Methodious University,2nd,Computer Science,Female,19,Moodle,Weekly,3,3,4,Learning curve,Screen sharing,Modernize user interface
S015,Mother Teresa University,1st,Chemistry,Female,19,Moodle,Daily,4,3,4,Learning curve,Easy navigation,Strengthen security features
S016,Saint Cyril and Methodious University,4th,Philosophy,Male,25,Canvas,Monthly,3,3,4,Learning curve,Video quality,Enhance login security
S017,Mother Teresa University,4th,Psychology,Male,24,MS Teams,Monthly,4,5,3,Login issues,Easy navigation,Modernize user interface
S018,Mother Teresa University,3rd,Law,Female,25,Skype,Daily,4,5,5,Learning curve,Familiarity,Optimize performance
S019,Saint Cyril and Methodious University,1st,Art,Male,18,Google Meet,Weekly,5,3,3,Security concerns,Easy navigation,More intuitive interface
S020,Mother Teresa University,4th,History,Male,23,Google Classroom,Weekly,4,4,4,No Response,Assignment tracking,Add more interactive tools
S021,Saint Cyril and Methodious University,4th,History,Female,23,Zoom,Daily,3,5,3,Learning curve,Familiarity,Provide tutorials
S022,Saint Cyril and Methodious University,1st,Business Administration,Female,19,Google Classroom,Monthly,3,4,4,No Response,Screen sharing,Improve reliability
S023,Mother Teresa University,1st,Computer Science,Male,19,Blackboard Collaborate,Weekly,3,4,3,Bandwidth issues,Video quality,Provide tutorials
S024,Mother Teresa University,4th,Business Administration,Female,24,Skype,Monthly,3,3,5,Outdated interface,Breakout rooms,Strengthen security features
S025,Mother Teresa University,1st,Business Administration,Female,25,Zoom,Daily,5,5,5,Bandwidth issues,Simplicity,Improved stability
S026,Saint Cyril and Methodious University,1st,Chemistry,Female,25,Moodle,Monthly,5,4,5,Outdated interface,Familiarity,No Response
S027,Mother Teresa University,4th,Computer Science,Male,23,Blackboard Collaborate,Daily,3,4,5,Learning curve,Video quality,No Response
S028,Mother Teresa University,3rd,Economics,Female,24,Moodle,Monthly,5,3,4,No Response,Simplicity,Improved stability
S029,Saint Cyril and Methodious University,1st,Chemistry,Female,20,MS Teams,Monthly,4,3,4,Learning curve,Breakout rooms,Add more interactive tools
S030,Mother Teresa University,4th,Literature,Female,21,Skype,Daily,4,3,5,Technical glitches,Recording feature,Modernize user interface
S031,Mother Teresa University,4th,Economics,Female,18,Blackboard Collaborate,Daily,5,3,3,Learning curve,Chat function,Modernize user interface
S032,Saint Cyril and Methodious University,3rd,Physics,Male,20,Google Classroom,Daily,4,3,4,Bandwidth issues,Breakout rooms,Modernize user interface
S033,Mother Teresa University,2nd,Economics,Male,21,Zoom,Monthly,4,3,5,Security concerns,Screen sharing,Strengthen security features
